"state","retail.recreation","grocery.pharmacy","parks","transitstations","workplace","residential","date"
"Alabama",-0.05,-0.02,-0.39,-0.07,-0.02,-0.01,2020-02-01
"Alaska",-0.05,-0.02,-0.39,-0.07,-0.02,-0.01,2020-02-01
"Arizona",-0.05,-0.02,-0.39,-0.07,-0.02,-0.01,2020-02-01
"Arkansas",-0.05,-0.02,-0.39,-0.07,-0.02,-0.01,2020-02-01
"California",-0.05,-0.02,-0.39,-0.07,-0.02,-0.01,2020-02-01
"Colorado",-0.05,-0.02,-0.39,-0.07,-0.02,-0.01,2020-02-01
"Connecticut",-0.05,-0.02,-0.39,-0.07,-0.02,-0.01,2020-02-01
"Delaware",-0.05,-0.02,-0.39,-0.07,-0.02,-0.01,2020-02-01
"Florida",-0.05,-0.02,-0.39,-0.07,-0.02,-0.01,2020-02-01
"Georgia",-0.05,-0.02,-0.39,-0.07,-0.02,-0.01,2020-02-01
"Hawaii",-0.05,-0.02,-0.39,-0.07,-0.02,-0.01,2020-02-01
"Idaho",-0.05,-0.02,-0.39,-0.07,-0.02,-0.01,2020-02-01
"Illinois",-0.05,-0.02,-0.39,-0.07,-0.02,-0.01,2020-02-01
"Indiana",-0.05,-0.02,-0.39,-0.07,-0.02,-0.01,2020-02-01
"Iowa",-0.05,-0.02,-0.39,-0.07,-0.02,-0.01,2020-02-01
"Kansas",-0.05,-0.02,-0.39,-0.07,-0.02,-0.01,2020-02-01
"Kentucky",-0.05,-0.02,-0.39,-0.07,-0.02,-0.01,2020-02-01
"Louisiana",-0.05,-0.02,-0.39,-0.07,-0.02,-0.01,2020-02-01
"Maine",-0.05,-0.02,-0.39,-0.07,-0.02,-0.01,2020-02-01
"Maryland",-0.05,-0.02,-0.39,-0.07,-0.02,-0.01,2020-02-01
"Massachusetts",-0.05,-0.02,-0.39,-0.07,-0.02,-0.01,2020-02-01
"Michigan",-0.05,-0.02,-0.39,-0.07,-0.02,-0.01,2020-02-01
"Minnesota",-0.05,-0.02,-0.39,-0.07,-0.02,-0.01,2020-02-01
"Mississippi",-0.05,-0.02,-0.39,-0.07,-0.02,-0.01,2020-02-01
"Missouri",-0.05,-0.02,-0.39,-0.07,-0.02,-0.01,2020-02-01
"Montana",-0.05,-0.02,-0.39,-0.07,-0.02,-0.01,2020-02-01
"Nebraska",-0.05,-0.02,-0.39,-0.07,-0.02,-0.01,2020-02-01
"Nevada",-0.05,-0.02,-0.39,-0.07,-0.02,-0.01,2020-02-01
"New Hampshire",-0.05,-0.02,-0.39,-0.07,-0.02,-0.01,2020-02-01
"New Jersey",-0.05,-0.02,-0.39,-0.07,-0.02,-0.01,2020-02-01
"New Mexico",-0.05,-0.02,-0.39,-0.07,-0.02,-0.01,2020-02-01
"New York",-0.05,-0.02,-0.39,-0.07,-0.02,-0.01,2020-02-01
"North Carolina",-0.05,-0.02,-0.39,-0.07,-0.02,-0.01,2020-02-01
"North Dakota",-0.05,-0.02,-0.39,-0.07,-0.02,-0.01,2020-02-01
"Ohio",-0.05,-0.02,-0.39,-0.07,-0.02,-0.01,2020-02-01
"Oklahoma",-0.05,-0.02,-0.39,-0.07,-0.02,-0.01,2020-02-01
"Oregon",-0.05,-0.02,-0.39,-0.07,-0.02,-0.01,2020-02-01
"Pennsylvania",-0.05,-0.02,-0.39,-0.07,-0.02,-0.01,2020-02-01
"Rhode Island",-0.05,-0.02,-0.39,-0.07,-0.02,-0.01,2020-02-01
"South Carolina",-0.05,-0.02,-0.39,-0.07,-0.02,-0.01,2020-02-01
"South Dakota",-0.05,-0.02,-0.39,-0.07,-0.02,-0.01,2020-02-01
"Tennessee",-0.05,-0.02,-0.39,-0.07,-0.02,-0.01,2020-02-01
"Texas",-0.05,-0.02,-0.39,-0.07,-0.02,-0.01,2020-02-01
"Utah",-0.05,-0.02,-0.39,-0.07,-0.02,-0.01,2020-02-01
"Vermont",-0.05,-0.02,-0.39,-0.07,-0.02,-0.01,2020-02-01
"Virginia",-0.05,-0.02,-0.39,-0.07,-0.02,-0.01,2020-02-01
"Washington",-0.05,-0.02,-0.39,-0.07,-0.02,-0.01,2020-02-01
"West Virginia",-0.05,-0.02,-0.39,-0.07,-0.02,-0.01,2020-02-01
"Wisconsin",-0.05,-0.02,-0.39,-0.07,-0.02,-0.01,2020-02-01
"Wyoming",-0.05,-0.02,-0.39,-0.07,-0.02,-0.01,2020-02-01
"Alabama",-0.05,-0.02,-0.39,-0.07,-0.02,-0.01,2020-02-02
"Alaska",-0.05,-0.02,-0.39,-0.07,-0.02,-0.01,2020-02-02
"Arizona",-0.05,-0.02,-0.39,-0.07,-0.02,-0.01,2020-02-02
"Arkansas",-0.05,-0.02,-0.39,-0.07,-0.02,-0.01,2020-02-02
"California",-0.05,-0.02,-0.39,-0.07,-0.02,-0.01,2020-02-02
"Colorado",-0.05,-0.02,-0.39,-0.07,-0.02,-0.01,2020-02-02
"Connecticut",-0.05,-0.02,-0.39,-0.07,-0.02,-0.01,2020-02-02
"Delaware",-0.05,-0.02,-0.39,-0.07,-0.02,-0.01,2020-02-02
"Florida",-0.05,-0.02,-0.39,-0.07,-0.02,-0.01,2020-02-02
"Georgia",-0.05,-0.02,-0.39,-0.07,-0.02,-0.01,2020-02-02
"Hawaii",-0.05,-0.02,-0.39,-0.07,-0.02,-0.01,2020-02-02
"Idaho",-0.05,-0.02,-0.39,-0.07,-0.02,-0.01,2020-02-02
"Illinois",-0.05,-0.02,-0.39,-0.07,-0.02,-0.01,2020-02-02
"Indiana",-0.05,-0.02,-0.39,-0.07,-0.02,-0.01,2020-02-02
"Iowa",-0.05,-0.02,-0.39,-0.07,-0.02,-0.01,2020-02-02
"Kansas",-0.05,-0.02,-0.39,-0.07,-0.02,-0.01,2020-02-02
"Kentucky",-0.05,-0.02,-0.39,-0.07,-0.02,-0.01,2020-02-02
"Louisiana",-0.05,-0.02,-0.39,-0.07,-0.02,-0.01,2020-02-02
"Maine",-0.05,-0.02,-0.39,-0.07,-0.02,-0.01,2020-02-02
"Maryland",-0.05,-0.02,-0.39,-0.07,-0.02,-0.01,2020-02-02
"Massachusetts",-0.05,-0.02,-0.39,-0.07,-0.02,-0.01,2020-02-02
"Michigan",-0.05,-0.02,-0.39,-0.07,-0.02,-0.01,2020-02-02
"Minnesota",-0.05,-0.02,-0.39,-0.07,-0.02,-0.01,2020-02-02
"Mississippi",-0.05,-0.02,-0.39,-0.07,-0.02,-0.01,2020-02-02
"Missouri",-0.05,-0.02,-0.39,-0.07,-0.02,-0.01,2020-02-02
"Montana",-0.05,-0.02,-0.39,-0.07,-0.02,-0.01,2020-02-02
"Nebraska",-0.05,-0.02,-0.39,-0.07,-0.02,-0.01,2020-02-02
"Nevada",-0.05,-0.02,-0.39,-0.07,-0.02,-0.01,2020-02-02
"New Hampshire",-0.05,-0.02,-0.39,-0.07,-0.02,-0.01,2020-02-02
"New Jersey",-0.05,-0.02,-0.39,-0.07,-0.02,-0.01,2020-02-02
"New Mexico",-0.05,-0.02,-0.39,-0.07,-0.02,-0.01,2020-02-02
"New York",-0.05,-0.02,-0.39,-0.07,-0.02,-0.01,2020-02-02
"North Carolina",-0.05,-0.02,-0.39,-0.07,-0.02,-0.01,2020-02-02
"North Dakota",-0.05,-0.02,-0.39,-0.07,-0.02,-0.01,2020-02-02
"Ohio",-0.05,-0.02,-0.39,-0.07,-0.02,-0.01,2020-02-02
"Oklahoma",-0.05,-0.02,-0.39,-0.07,-0.02,-0.01,2020-02-02
"Oregon",-0.05,-0.02,-0.39,-0.07,-0.02,-0.01,2020-02-02
"Pennsylvania",-0.05,-0.02,-0.39,-0.07,-0.02,-0.01,2020-02-02
"Rhode Island",-0.05,-0.02,-0.39,-0.07,-0.02,-0.01,2020-02-02
"South Carolina",-0.05,-0.02,-0.39,-0.07,-0.02,-0.01,2020-02-02
"South Dakota",-0.05,-0.02,-0.39,-0.07,-0.02,-0.01,2020-02-02
"Tennessee",-0.05,-0.02,-0.39,-0.07,-0.02,-0.01,2020-02-02
"Texas",-0.05,-0.02,-0.39,-0.07,-0.02,-0.01,2020-02-02
"Utah",-0.05,-0.02,-0.39,-0.07,-0.02,-0.01,2020-02-02
"Vermont",-0.05,-0.02,-0.39,-0.07,-0.02,-0.01,2020-02-02
"Virginia",-0.05,-0.02,-0.39,-0.07,-0.02,-0.01,2020-02-02
"Washington",-0.05,-0.02,-0.39,-0.07,-0.02,-0.01,2020-02-02
"West Virginia",-0.05,-0.02,-0.39,-0.07,-0.02,-0.01,2020-02-02
"Wisconsin",-0.05,-0.02,-0.39,-0.07,-0.02,-0.01,2020-02-02
"Wyoming",-0.05,-0.02,-0.39,-0.07,-0.02,-0.01,2020-02-02
"Alabama",-0.05,-0.02,-0.39,-0.07,-0.02,-0.01,2020-02-03
"Alaska",-0.05,-0.02,-0.39,-0.07,-0.02,-0.01,2020-02-03
"Arizona",-0.05,-0.02,-0.39,-0.07,-0.02,-0.01,2020-02-03
"Arkansas",-0.05,-0.02,-0.39,-0.07,-0.02,-0.01,2020-02-03
"California",-0.05,-0.02,-0.39,-0.07,-0.02,-0.01,2020-02-03
"Colorado",-0.05,-0.02,-0.39,-0.07,-0.02,-0.01,2020-02-03
"Connecticut",-0.05,-0.02,-0.39,-0.07,-0.02,-0.01,2020-02-03
"Delaware",-0.05,-0.02,-0.39,-0.07,-0.02,-0.01,2020-02-03
"Florida",-0.05,-0.02,-0.39,-0.07,-0.02,-0.01,2020-02-03
"Georgia",-0.05,-0.02,-0.39,-0.07,-0.02,-0.01,2020-02-03
"Hawaii",-0.05,-0.02,-0.39,-0.07,-0.02,-0.01,2020-02-03
"Idaho",-0.05,-0.02,-0.39,-0.07,-0.02,-0.01,2020-02-03
"Illinois",-0.05,-0.02,-0.39,-0.07,-0.02,-0.01,2020-02-03
"Indiana",-0.05,-0.02,-0.39,-0.07,-0.02,-0.01,2020-02-03
"Iowa",-0.05,-0.02,-0.39,-0.07,-0.02,-0.01,2020-02-03
"Kansas",-0.05,-0.02,-0.39,-0.07,-0.02,-0.01,2020-02-03
"Kentucky",-0.05,-0.02,-0.39,-0.07,-0.02,-0.01,2020-02-03
"Louisiana",-0.05,-0.02,-0.39,-0.07,-0.02,-0.01,2020-02-03
"Maine",-0.05,-0.02,-0.39,-0.07,-0.02,-0.01,2020-02-03
"Maryland",-0.05,-0.02,-0.39,-0.07,-0.02,-0.01,2020-02-03
"Massachusetts",-0.05,-0.02,-0.39,-0.07,-0.02,-0.01,2020-02-03
"Michigan",-0.05,-0.02,-0.39,-0.07,-0.02,-0.01,2020-02-03
"Minnesota",-0.05,-0.02,-0.39,-0.07,-0.02,-0.01,2020-02-03
"Mississippi",-0.05,-0.02,-0.39,-0.07,-0.02,-0.01,2020-02-03
"Missouri",-0.05,-0.02,-0.39,-0.07,-0.02,-0.01,2020-02-03
"Montana",-0.05,-0.02,-0.39,-0.07,-0.02,-0.01,2020-02-03
"Nebraska",-0.05,-0.02,-0.39,-0.07,-0.02,-0.01,2020-02-03
"Nevada",-0.05,-0.02,-0.39,-0.07,-0.02,-0.01,2020-02-03
"New Hampshire",-0.05,-0.02,-0.39,-0.07,-0.02,-0.01,2020-02-03
"New Jersey",-0.05,-0.02,-0.39,-0.07,-0.02,-0.01,2020-02-03
"New Mexico",-0.05,-0.02,-0.39,-0.07,-0.02,-0.01,2020-02-03
"New York",-0.05,-0.02,-0.39,-0.07,-0.02,-0.01,2020-02-03
"North Carolina",-0.05,-0.02,-0.39,-0.07,-0.02,-0.01,2020-02-03
"North Dakota",-0.05,-0.02,-0.39,-0.07,-0.02,-0.01,2020-02-03
"Ohio",-0.05,-0.02,-0.39,-0.07,-0.02,-0.01,2020-02-03
"Oklahoma",-0.05,-0.02,-0.39,-0.07,-0.02,-0.01,2020-02-03
"Oregon",-0.05,-0.02,-0.39,-0.07,-0.02,-0.01,2020-02-03
"Pennsylvania",-0.05,-0.02,-0.39,-0.07,-0.02,-0.01,2020-02-03
"Rhode Island",-0.05,-0.02,-0.39,-0.07,-0.02,-0.01,2020-02-03
"South Carolina",-0.05,-0.02,-0.39,-0.07,-0.02,-0.01,2020-02-03
"South Dakota",-0.05,-0.02,-0.39,-0.07,-0.02,-0.01,2020-02-03
"Tennessee",-0.05,-0.02,-0.39,-0.07,-0.02,-0.01,2020-02-03
"Texas",-0.05,-0.02,-0.39,-0.07,-0.02,-0.01,2020-02-03
"Utah",-0.05,-0.02,-0.39,-0.07,-0.02,-0.01,2020-02-03
"Vermont",-0.05,-0.02,-0.39,-0.07,-0.02,-0.01,2020-02-03
"Virginia",-0.05,-0.02,-0.39,-0.07,-0.02,-0.01,2020-02-03
"Washington",-0.05,-0.02,-0.39,-0.07,-0.02,-0.01,2020-02-03
"West Virginia",-0.05,-0.02,-0.39,-0.07,-0.02,-0.01,2020-02-03
"Wisconsin",-0.05,-0.02,-0.39,-0.07,-0.02,-0.01,2020-02-03
"Wyoming",-0.05,-0.02,-0.39,-0.07,-0.02,-0.01,2020-02-03
"Alabama",-0.05,-0.02,-0.39,-0.07,-0.02,-0.01,2020-02-04
"Alaska",-0.05,-0.02,-0.39,-0.07,-0.02,-0.01,2020-02-04
"Arizona",-0.05,-0.02,-0.39,-0.07,-0.02,-0.01,2020-02-04
"Arkansas",-0.05,-0.02,-0.39,-0.07,-0.02,-0.01,2020-02-04
"California",-0.05,-0.02,-0.39,-0.07,-0.02,-0.01,2020-02-04
"Colorado",-0.05,-0.02,-0.39,-0.07,-0.02,-0.01,2020-02-04
"Connecticut",-0.05,-0.02,-0.39,-0.07,-0.02,-0.01,2020-02-04
"Delaware",-0.05,-0.02,-0.39,-0.07,-0.02,-0.01,2020-02-04
"Florida",-0.05,-0.02,-0.39,-0.07,-0.02,-0.01,2020-02-04
