location_id,StateFIPS,StatePostal,StateName,StatePolicy,Mandate,StateWide,DateIssued,DateEnacted,DateExpiry,DateEased,DateEnded,PolicyCodingNotes,PolicySource,LastUpdated,LastUpdatedNotes
523,1,AL,Alabama,EmergDec,1,1,20200313,20200313,,,,Public Health Emergency,https://governor.alabama.gov/newsroom/2020/03/third-supplemental-state-of-emergency-coronavirus-covid-19/,20200324,
523,1,AL,Alabama,SchoolClose,1,1,20200314,20200318,20200703,20200601,,in effect 20200318. 20200319 issuance also closed all public/private schools (20200314 is public school only): https://governor.alabama.gov/assets/2020/03/Alabama-State-Health-Officer-Statewide-Social-Distancing-Order-3.19.20.pdf,http://alabamapublichealth.gov/legal/assets/420-4-1.13-er.pdf,20200606,Updated DateExpiry to 20200703
523,1,AL,Alabama,GathRestrict25,1,1,20200319,20200319,,,,"In effect as of 5 pm 20200319. On 20200320, amendment was made to clarify that it was all non-work gatherings of 25 or more: http://alabamapublichealth.gov/legal/assets/420-4-1.13-er.pdf",https://governor.alabama.gov/assets/2020/03/Alabama-State-Health-Officer-Statewide-Social-Distancing-Order-3.19.20.pdf,20200420,"Updated DateEnacted to 20200319 per state health order, was originally 20200320."
523,1,AL,Alabama,GathRestrictAny,1,1,20200319,20200319,20200703,,,"In effect as of 5 pm 20200319. On 20200320, amendment was made to clarify that it was all non-work gatherings of 25 or more: http://alabamapublichealth.gov/legal/assets/420-4-1.13-er.pdf",https://governor.alabama.gov/assets/2020/03/Alabama-State-Health-Officer-Statewide-Social-Distancing-Order-3.19.20.pdf,20200606,Updated DateExpiry to 20200703
523,1,AL,Alabama,OtherBusinessClose,1,1,20200319,20200319,20200703,20200430,,All beaches close effective at 5 pm 20200319,https://governor.alabama.gov/assets/2020/03/Alabama-State-Health-Officer-Statewide-Social-Distancing-Order-3.19.20.pdf,20200606,Updated DateExpiry to 20200703
523,1,AL,Alabama,RestaurantRestrict,1,1,20200319,20200319,20200703,20200511,,"Limited operations required: restaurants, bars, breweries. In effect at 5 pm on 20200319. Extension to 20200515 https://www.alabamapublichealth.gov/legal/assets/order-adph-cov-gatherings-042820.pdf. Began easing of restrictions on 20200511 https://www.alabamapublichealth.gov/legal/assets/order-adph-cov-gatherings-050820.pdf",https://governor.alabama.gov/assets/2020/03/Alabama-State-Health-Officer-Statewide-Social-Distancing-Order-3.19.20.pdf,20200522,Updated DateExpiry to 20200703
523,1,AL,Alabama,GathRestrict10,1,1,20200327,20200328,20200703,,,Expands restriction gathering to 10 or more people being prohibited. ,http://www.alabamapublichealth.gov/legal/assets/order-adph-cov-gatherings-032720.pdf,20200522,Updated DateExpiry to 20200703
523,1,AL,Alabama,OtherBusinessClose,1,1,20200327,20200328,20200703,20200430,,"Non-essential business categories closed included entertainment venues, retail shops, personal care services, and athletic faciltiies. Not considered full NEBusinessClose yet due to only listing of additional types of businsess to close.",https://www.alabamapublichealth.gov/news/2020/03/27.html,20200522,Updated DateExpiry to 20200703
523,1,AL,Alabama,CaseIsolation,1,1,20200403,20200404,20200703,,,"Anyone who tests positive for COVID-19 shall be quarantined in their place of residence for a period of 14 days, or other period of time as directed by the State Health Officer, after receiving positive results. Extended to 20200515 https://www.alabamapublichealth.gov/legal/assets/order-adph-cov-gatherings-042820.pdf",https://governor.alabama.gov/assets/2020/04/Safer-At-Home-Order-Signed-4.28.20.pdf,20200522,UpdatedDateExpiry to 20200703.
523,1,AL,Alabama,StayAtHome,1,1,20200403,20200404,20200430,,20200430,Goes into effect at 5 pm on 20200403. The 20200428 order ended the stay-at-home https://www.alabamapublichealth.gov/legal/assets/order-adph-cov-gatherings-042820.pdf,http://www.alabamapublichealth.gov/legal/assets/soe-covid19-stamped-040320.pdf,20200501,Added DateEnded of 20200430
523,1,AL,Alabama,PublicMask,0,1,20200428,20200430,20200703,,,Recommendation from the Gov in the Safer At Home order. ,http://www.alabamapublichealth.gov/legal/assets/order-adph-cov-gatherings-042820.pdf,20200522,Updated DateExpiry to 20200703
523,1,AL,Alabama,StayAtHome,0,1,20200428,20200430,20200703,,,"Continues recommendation for all individuals, especially vulnerable persons, to minimize travel outside the home",https://governor.alabama.gov/assets/2020/04/Safer-At-Home-Order-Signed-4.28.20.pdf,20200522,Updated DateExpiry to 20200703.
524,2,AK,Alaska,EmergDec,1,1,20200311,20200311,,,,Public Health Emergency,https://gov.alaska.gov/wp-content/uploads/sites/2/COVID-19-Disaster-Packet.pdf,20200324,
