"country","age","pop"
"Austria",0,91186
"Austria",1,89715
"Austria",2,88377
"Austria",3,87180
"Austria",4,85866
"Austria",5,85099
"Austria",6,84465
"Austria",7,83979
"Austria",8,83657
"Austria",9,83498
"Austria",10,83500
"Austria",11,83766
"Austria",12,84348
"Austria",13,85208
"Austria",14,86286
"Austria",15,87627
"Austria",16,89106
"Austria",17,90664
"Austria",18,92386
"Austria",19,94209
"Austria",20,95906
"Austria",21,98612
"Austria",22,102808
"Austria",23,107838
"Austria",24,112680
"Austria",25,117674
"Austria",26,121273
"Austria",27,122648
"Austria",28,122541
"Austria",29,122446
"Austria",30,121965
"Austria",31,121870
"Austria",32,122664
"Austria",33,123877
"Austria",34,124800
"Austria",35,125893
"Austria",36,125546
"Austria",37,122989
"Austria",38,119176
"Austria",39,115748
"Austria",40,112282
"Austria",41,110415
"Austria",42,111099
"Austria",43,113565
"Austria",44,115817
"Austria",45,117916
"Austria",46,121130
"Austria",47,125778
"Austria",48,131179
"Austria",49,136380
"Austria",50,141627
"Austria",51,145208
"Austria",52,146190
"Austria",53,145273
"Austria",54,144203
"Austria",55,142766
"Austria",56,140347
"Austria",57,136858
"Austria",58,132547
"Austria",59,127925
"Austria",60,123101
"Austria",61,117814
"Austria",62,112056
"Austria",63,106126
"Austria",64,100218
"Austria",65,94164
"Austria",66,89495
"Austria",67,86955
"Austria",68,85868
"Austria",69,84619
"Austria",70,83303
"Austria",71,82511
"Austria",72,82299
"Austria",73,82309
"Austria",74,82291
"Austria",75,82497
"Austria",76,81020
"Austria",77,76945
"Austria",78,71162
"Austria",79,65526
"Austria",80,59739
"Austria",81,54151
"Austria",82,49147
"Austria",83,44568
"Austria",84,39832
"Austria",85,35008
"Austria",86,30752
"Austria",87,27317
"Austria",88,24469
"Austria",89,21564
"Austria",90,19553
"Austria",91,17329
"Austria",92,14311
"Austria",93,10567
"Austria",94,7908
"Austria",95,6865
"Austria",96,5706
"Austria",97,4127
"Austria",98,2131
"Austria",99,1090
"Austria",100,1114
"Belgium",0,122223
"Belgium",1,125295
"Belgium",2,127873
"Belgium",3,129989
"Belgium",4,130568
"Belgium",5,132193
"Belgium",6,133398
"Belgium",7,134205
"Belgium",8,134641
"Belgium",9,134834
"Belgium",10,134911
"Belgium",11,134379
"Belgium",12,133056
"Belgium",13,131278
"Belgium",14,129575
"Belgium",15,127856
"Belgium",16,126723
"Belgium",17,126533
"Belgium",18,127070
"Belgium",19,127589
"Belgium",20,128038
"Belgium",21,129450
"Belgium",22,132201
"Belgium",23,135761
"Belgium",24,139297
"Belgium",25,143063
"Belgium",26,145867
"Belgium",27,147059
"Belgium",28,147193
"Belgium",29,147456
"Belgium",30,147585
"Belgium",31,147882
"Belgium",32,148610
"Belgium",33,149559
"Belgium",34,150321
"Belgium",35,151055
"Belgium",36,151414
"Belgium",37,151212
"Belgium",38,150679
"Belgium",39,150218
"Belgium",40,149734
"Belgium",41,149583
"Belgium",42,149975
"Belgium",43,150749
"Belgium",44,151476
"Belgium",45,152176
"Belgium",46,153120
"Belgium",47,154381
"Belgium",48,155819
"Belgium",49,157139
"Belgium",50,158296
"Belgium",51,159443
"Belgium",52,160595
"Belgium",53,161597
"Belgium",54,162345
"Belgium",55,162938
"Belgium",56,162560
"Belgium",57,160819
"Belgium",58,158085
"Belgium",59,155213
"Belgium",60,152146
"Belgium",61,148644
"Belgium",62,144713
"Belgium",63,140508
"Belgium",64,135988
"Belgium",65,130934
"Belgium",66,126833
"Belgium",67,124348
"Belgium",68,122721
"Belgium",69,120861
"Belgium",70,119384
"Belgium",71,115774
"Belgium",72,108790
"Belgium",73,99815
"Belgium",74,91216
"Belgium",75,82224
"Belgium",76,75539
"Belgium",77,72648
"Belgium",78,72151
"Belgium",79,71184
"Belgium",80,70348
"Belgium",81,68628
"Belgium",82,65240
"Belgium",83,60746
"Belgium",84,56604
"Belgium",85,52648
"Belgium",86,48224
"Belgium",87,43194
"Belgium",88,37826
"Belgium",89,32026
"Belgium",90,27169
"Belgium",91,23564
"Belgium",92,19237
"Belgium",93,14186
"Belgium",94,10675
"Belgium",95,9167
"Belgium",96,7569
"Belgium",97,5479
"Belgium",98,2897
"Belgium",99,1553
"Belgium",100,1773
"Denmark",0,65236
"Denmark",1,62109
"Denmark",2,59975
"Denmark",3,58719
"Denmark",4,56314
"Denmark",5,57678
"Denmark",6,59273
"Denmark",7,61010
"Denmark",8,62798
"Denmark",9,64754
"Denmark",10,66989
"Denmark",11,68396
"Denmark",12,68474
"Denmark",13,67747
"Denmark",14,67173
"Denmark",15,66485
"Denmark",16,66479
"Denmark",17,67625
"Denmark",18,69505
"Denmark",19,71125
"Denmark",20,72551
"Denmark",21,74132
"Denmark",22,75900
"Denmark",23,77652
"Denmark",24,79287
"Denmark",25,80986
"Denmark",26,81470
"Denmark",27,80142
"Denmark",28,77624
"Denmark",29,75247
"Denmark",30,72881
"Denmark",31,70512
"Denmark",32,68312
"Denmark",33,66358
"Denmark",34,64380
"Denmark",35,62227
"Denmark",36,61473
"Denmark",37,62807
"Denmark",38,65481
"Denmark",39,68144
"Denmark",40,71171
"Denmark",41,73368
"Denmark",42,74039
"Denmark",43,73794
"Denmark",44,73775
"Denmark",45,73549
"Denmark",46,74239
"Denmark",47,76453
"Denmark",48,79503
"Denmark",49,82200
"Denmark",50,84913
"Denmark",51,86332
"Denmark",52,85722
"Denmark",53,83757
"Denmark",54,81861
"Denmark",55,79783
"Denmark",56,77771
"Denmark",57,76102
"Denmark",58,74635
"Denmark",59,73069
"Denmark",60,71607
"Denmark",61,69892
"Denmark",62,67762
"Denmark",63,65522
"Denmark",64,63256
"Denmark",65,60479
"Denmark",66,59753
"Denmark",67,62212
"Denmark",68,66454
"Denmark",69,70247
"Denmark",70,74404
"Denmark",71,75587
"Denmark",72,72023
"Denmark",73,65400
"Denmark",74,59158
"Denmark",75,52586
"Denmark",76,46910
"Denmark",77,43081
"Denmark",78,40432
"Denmark",79,37365
"Denmark",80,34220
"Denmark",81,31134
"Denmark",82,28021
"Denmark",83,24964
"Denmark",84,22106
"Denmark",85,19393
"Denmark",86,16984
"Denmark",87,14966
"Denmark",88,13245
"Denmark",89,11554
"Denmark",90,10337
"Denmark",91,9102
"Denmark",92,7535
"Denmark",93,5662
"Denmark",94,4328
"Denmark",95,3736
"Denmark",96,3125
"Denmark",97,2353
"Denmark",98,1421
"Denmark",99,820
"Denmark",100,1275
"France",0,698863
"France",1,718367
"France",2,735590
"France",3,750613
"France",4,765788
"France",5,774872
"France",6,782562
"France",7,788854
"France",8,793746
"France",9,797375
"France",10,799882
"France",11,800557
"France",12,799116
"France",13,795980
"France",14,792219
"France",15,788061
"France",16,782358
"France",17,774789
"France",18,766181
"France",19,757911
"France",20,749983
"France",21,743205
"France",22,738210
"France",23,734966
"France",24,732154
"France",25,729262
"France",26,731062
"France",27,739549
"France",28,752312
"France",29,764745
"France",30,777525
"France",31,788665
"France",32,796631
"France",33,802104
"France",34,808606
"France",35,816989
"France",36,819100
"France",37,811733
"France",38,799188
"France",39,787343
"France",40,773069
"France",41,770791
"France",42,787660
"France",43,816195
"France",44,842377
"France",45,869745
"France",46,888398
"France",47,892232
"France",48,886336
"France",49,881679
"France",50,875801
"France",51,871242
"France",52,870283
"France",53,871031
"France",54,869844
"France",55,868083
"France",56,862602
"France",57,851677
"France",58,837338
"France",59,823017
"France",60,807641
"France",61,795236
"France",62,788026
"France",63,783990
"France",64,777316
"France",65,767282
"France",66,760647
"France",67,759582
"France",68,760025
"France",69,758968
"France",70,760879
"France",71,741489
"France",72,689655
"France",73,618176
"France",74,549345
"France",75,476729
"France",76,423102
"France",77,401423
"France",78,400308
"France",79,395205
"France",80,390780
"France",81,383037
"France",82,367442
"France",83,346676
"France",84,328535
"France",85,312156
"France",86,291966
"France",87,266192
"France",88,236984
"France",89,205922
"France",90,180229
"France",91,159354
"France",92,133314
"France",93,102103
"France",94,80594
"France",95,71570
"France",96,60088
"France",97,44298
"France",98,24200
"France",99,14252
"France",100,18599
"Germany",0,831175
"Germany",1,812190
"Germany",2,795627
"Germany",3,781474
"Germany",4,766976
"Germany",5,757727
"Germany",6,750619
"Germany",7,745709
"Germany",8,743057
"Germany",9,742361
"Germany",10,743316
"Germany",11,747795
"Germany",12,756583
"Germany",13,768649
"Germany",14,781726
"Germany",15,795722
"Germany",16,811454
"Germany",17,828926
"Germany",18,847376
"Germany",19,866877
"Germany",20,888415
"Germany",21,905239
"Germany",22,914313
"Germany",23,919049
"Germany",24,924331
"Germany",25,927302
"Germany",26,939512
"Germany",27,966600
"Germany",28,1002194
"Germany",29,1034706
"Germany",30,1066957
"Germany",31,1089852
"Germany",32,1097854
"Germany",33,1095351
"Germany",34,1093637
"Germany",35,1092092
"Germany",36,1084414
"Germany",37,1069127
"Germany",38,1049493
"Germany",39,1031662
"Germany",40,1016112
"Germany",41,1002981
"Germany",42,993524
"Germany",43,989273
"Germany",44,986099
"Germany",45,979539
"Germany",46,1000096
"Germany",47,1060845
"Germany",48,1145725
"Germany",49,1226009
"Germany",50,1307936
"Germany",51,1368838
"Germany",52,1394672
"Germany",53,1395486
"Germany",54,1397134
"Germany",55,1396565
"Germany",56,1382593
"Germany",57,1352922
"Germany",58,1312026
"Germany",59,1266711
"Germany",60,1215650
"Germany",61,1167944
"Germany",62,1128836
"Germany",63,1094876
"Germany",64,1058671
"Germany",65,1023254
"Germany",66,984056
"Germany",67,938574
"Germany",68,890636
"Germany",69,845029
"Germany",70,798941
"Germany",71,766603
"Germany",72,754992
"Germany",73,756878
"Germany",74,756162
"Germany",75,753782
"Germany",76,752810
"Germany",77,752411
"Germany",78,749974
"Germany",79,747044
"Germany",80,747298
"Germany",81,723079
"Germany",82,662038
"Germany",83,577945
"Germany",84,496189
"Germany",85,410829
"Germany",86,340178
"Germany",87,295647
"Germany",88,268426
"Germany",89,236808
"Germany",90,213378
"Germany",91,186947
"Germany",92,153156
"Germany",93,112602
"Germany",94,83794
"Germany",95,71834
"Germany",96,59373
"Germany",97,43137
"Germany",98,23127
"Germany",99,13921
"Germany",100,17692
"Greece",0,80897
"Greece",1,82112
"Greece",2,83896
"Greece",3,86145
"Greece",4,86613
"Greece",5,90742
"Greece",6,94717
"Greece",7,98449
"Greece",8,101852
"Greece",9,105092
"Greece",10,108336
"Greece",11,110223
"Greece",12,110153
"Greece",13,108804
"Greece",14,107412
"Greece",15,105682
"Greece",16,104557
"Greece",17,104616
"Greece",18,105408
"Greece",19,106023
"Greece",20,106789
"Greece",21,107071
"Greece",22,106510
"Greece",23,105547
"Greece",24,104984
"Greece",25,104662
"Greece",26,105147
"Greece",27,106802
"Greece",28,109385
"Greece",29,112019
"Greece",30,114555
"Greece",31,118470
"Greece",32,124309
"Greece",33,131257
"Greece",34,138070
"Greece",35,145133
"Greece",36,150521
"Greece",37,153190
"Greece",38,154025
"Greece",39,154981
"Greece",40,155700
"Greece",41,156341
"Greece",42,157193
"Greece",43,158110
"Greece",44,158532
"Greece",45,158423
"Greece",46,158661
"Greece",47,159579
"Greece",48,160746
"Greece",49,161627
"Greece",50,162603
"Greece",51,161924
"Greece",52,158755
"Greece",53,154035
"Greece",54,149354
"Greece",55,144168
"Greece",56,140444
"Greece",57,139250
"Greece",58,139559
"Greece",59,139484
"Greece",60,139652
"Greece",61,138317
"Greece",62,134498
"Greece",63,129192
"Greece",64,124092
"Greece",65,118519
"Greece",66,114738
"Greece",67,113937
"Greece",68,114850
"Greece",69,115422
"Greece",70,116546
"Greece",71,115006
"Greece",72,109152
"Greece",73,100751
"Greece",74,92807
"Greece",75,84219
"Greece",76,78781
"Greece",77,78525
"Greece",78,81402
"Greece",79,83474
"Greece",80,85696
"Greece",81,85691
"Greece",82,81935
"Greece",83,75676
"Greece",84,69852
"Greece",85,64072
"Greece",86,57800
"Greece",87,51126
"Greece",88,44263
"Greece",89,36601
"Greece",90,29981
"Greece",91,25429
"Greece",92,20238
"Greece",93,14375
"Greece",94,10243
"Greece",95,8311
"Greece",96,6735
"Greece",97,4911
"Greece",98,2838
"Greece",99,1660
"Greece",100,2495
"Italy",0,438877
"Italy",1,460023
"Italy",2,479113
"Italy",3,496228
"Italy",4,508304
"Italy",5,522573
"Italy",6,535055
"Italy",7,545813
"Italy",8,554906
"Italy",9,562684
"Italy",10,569498
"Italy",11,573962
"Italy",12,575560
"Italy",13,575219
"Italy",14,574574
"Italy",15,573526
"Italy",16,572940
"Italy",17,573489
"Italy",18,575039
"Italy",19,576525
"Italy",20,577845
"Italy",21,581605
"Italy",22,588894
"Italy",23,598549
"Italy",24,608428
"Italy",25,619093
"Italy",26,628869
"Italy",27,636748
"Italy",28,643587
"Italy",29,651608
"Italy",30,660795
"Italy",31,669660
"Italy",32,677824
"Italy",33,686134
"Italy",34,695495
"Italy",35,705341
"Italy",36,719171
"Italy",37,738699
"Italy",38,762248
"Italy",39,785376
"Italy",40,807711
"Italy",41,833262
"Italy",42,863169
"Italy",43,894920
"Italy",44,925253
"Italy",45,955288
"Italy",46,977490
"Italy",47,987919
"Italy",48,989854
"Italy",49,990299
"Italy",50,987600
"Italy",51,983717
"Italy",52,980249
"Italy",53,975778
"Italy",54,968479
"Italy",55,960146
"Italy",56,944168
"Italy",57,917533
"Italy",58,884231
"Italy",59,851267
"Italy",60,817245
"Italy",61,787880
"Italy",62,766731
"Italy",63,751432
"Italy",64,734610
"Italy",65,716003
"Italy",66,704055
"Italy",67,701670
"Italy",68,704503
"Italy",69,706997
"Italy",70,712310
"Italy",71,704699
"Italy",72,676419
"Italy",73,635473
"Italy",74,595952
"Italy",75,553056
"Italy",76,522103
"Italy",77,511502
"Italy",78,512897
"Italy",79,510637
"Italy",80,509195
"Italy",81,496433
"Italy",82,465163
"Italy",83,422038
"Italy",84,381103
"Italy",85,339799
"Italy",86,301028
"Italy",87,267732
"Italy",88,238293
"Italy",89,205758
"Italy",90,179295
"Italy",91,156788
"Italy",92,129057
"Italy",93,96253
"Italy",94,73364
"Italy",95,63539
"Italy",96,52768
"Italy",97,38689
"Italy",98,21305
"Italy",99,12140
"Italy",100,15968
"Netherlands",0,169625
"Netherlands",1,170917
"Netherlands",2,172271
"Netherlands",3,173695
"Netherlands",4,176799
"Netherlands",5,177468
"Netherlands",6,178414
"Netherlands",7,179637
"Netherlands",8,181133
"Netherlands",9,182731
"Netherlands",10,184259
"Netherlands",11,186569
"Netherlands",12,190004
"Netherlands",13,194047
"Netherlands",14,198046
"Netherlands",15,202373
"Netherlands",16,205157
"Netherlands",17,205474
"Netherlands",18,204276
"Netherlands",19,203263
"Netherlands",20,201893
"Netherlands",21,201854
"Netherlands",22,204094
"Netherlands",23,207696
"Netherlands",24,210795
