"","school","cumulative_students","date","start","number_students","type","loc"
"1","A. CRAWFORD MOSLEY HIGH SCHOOL",17,"2020-10-24","2020-09-06",1802,"Public","FL"
"2","A. CRAWFORD MOSLEY HIGH SCHOOL",23,"2020-11-21","2020-09-06",1802,"Public","FL"
"3","A. K. SUTER ELEMENTARY SCHOOL",1,"2020-10-24","2020-09-06",568,"Public","FL"
"4","A. K. SUTER ELEMENTARY SCHOOL",1,"2020-11-21","2020-09-06",568,"Public","FL"
"5","A. L. MEBANE MIDDLE SCHOOL",1,"2020-11-21","2020-09-06",363,"Public","FL"
"6","A. PHILIP RANDOLPH ACADEMIES",1,"2020-10-24","2020-09-06",503,"Public","FL"
"7","A. PHILIP RANDOLPH ACADEMIES",2,"2020-11-21","2020-09-06",503,"Public","FL"
"8","A.D. HENDERSON UNIVERSITY SCHOOL & FAU HIGH SCHOOL",1,"2020-10-24","2020-09-06",1148,"Public","FL"
"9","A.D. HENDERSON UNIVERSITY SCHOOL & FAU HIGH SCHOOL",1,"2020-11-21","2020-09-06",1148,"Public","FL"
"10","A.QUINN JONES CENTER",1,"2020-11-21","2020-09-06",83,"Public","FL"
"11","ABRAHAM LINCOLN MIDDLE SCHOOL",0,"2020-10-24","2020-09-06",647,"Public","FL"
"12","ABRAHAM LINCOLN MIDDLE SCHOOL",5,"2020-11-21","2020-09-06",647,"Public","FL"
"13","ABUNDANT LIFE CHRISTIAN ACADEMY",1,"2020-11-21","2020-09-06",390,"Private","FL"
"14","ACADEMIR CHARTER SCHOOL MIDDLE",2,"2020-11-21","2020-09-06",361,"Public","FL"
"15","ACADEMIR CHARTER SCHOOL PREPARATORY",2,"2020-10-24","2020-09-06",848,"Public","FL"
"16","ACADEMIR CHARTER SCHOOL PREPARATORY",9,"2020-11-21","2020-09-06",848,"Public","FL"
"17","ACADEMIR CHARTER SCHOOL WEST",2,"2020-10-24","2020-09-06",619,"Public","FL"
"18","ACADEMIR CHARTER SCHOOL WEST",8,"2020-11-21","2020-09-06",619,"Public","FL"
"19","ACADEMIR CHARTER SCHOOL WEST",0,"2020-11-21","2020-09-06",619,"Public","FL"
"20","ACADEMIR PREPARATORY ACADEMY",1,"2020-10-24","2020-09-06",440,"Public","FL"
"21","ACADEMIR PREPARATORY ACADEMY",3,"2020-11-21","2020-09-06",440,"Public","FL"
"22","ACADEMY AT THE FARM",1,"2020-10-24","2020-09-06",588,"Public","FL"
"23","ACADEMY AT THE FARM",2,"2020-11-21","2020-09-06",588,"Public","FL"
"24","ACADEMY FOR AUTISM",1,"2020-10-24","2020-09-06",54,"Private","FL"
"25","ACADEMY FOR AUTISM",1,"2020-11-21","2020-09-06",54,"Private","FL"
"26","ACADEMY FOR INTERNATIONAL EDUCATION CHARTER SCHOOL",3,"2020-10-24","2020-09-06",656,"Public","FL"
"27","ACADEMY FOR INTERNATIONAL EDUCATION CHARTER SCHOOL",3,"2020-11-21","2020-09-06",656,"Public","FL"
"28","ACADEMY OF ENVIRONMENTAL SCIENCE",1,"2020-10-24","2020-09-06",123,"Public","FL"
"29","ACADEMY OF ENVIRONMENTAL SCIENCE",1,"2020-11-21","2020-09-06",123,"Public","FL"
"30","ACADEMY OF THE HOLY NAMES",1,"2020-10-24","2020-09-06",911,"Private","FL"
"31","ACADEMY OF THE HOLY NAMES",5,"2020-11-21","2020-09-06",911,"Private","FL"
"32","ACCELERATION ACADEMY",1,"2020-10-24","2020-09-06",287,"Public","FL"
"33","ACCELERATION ACADEMY",1,"2020-11-21","2020-09-06",287,"Public","FL"
"34","ACCELERATION EAST",1,"2020-11-21","2020-09-06",212,"Public","FL"
"35","ACCELERATION WEST",2,"2020-10-24","2020-09-06",279,"Public","FL"
"36","ACCELERATION WEST",2,"2020-11-21","2020-09-06",279,"Public","FL"
"37","ACHIEVEMENT CENTER OF SARASOTA THE",1,"2020-11-21","2020-09-06",23,"Private","FL"
"38","ACREAGE PINES ELEMENTARY SCHOOL",2,"2020-11-21","2020-09-06",529,"Public","FL"
"39","ADA MERRITT K-8 CENTER",2,"2020-10-24","2020-09-06",763,"Public","FL"
"40","ADA MERRITT K-8 CENTER",7,"2020-11-21","2020-09-06",763,"Public","FL"
"41","ADAMS MIDDLE SCHOOL",2,"2020-11-21","2020-09-06",846,"Public","FL"
"42","ADDIE R. LEWIS SCHOOL",2,"2020-10-24","2020-09-06",761,"Public","FL"
"43","ADDIE R. LEWIS SCHOOL",2,"2020-11-21","2020-09-06",761,"Public","FL"
"44","ADDISON MIZNER ELEMENTARY SCHOOL",0,"2020-11-21","2020-09-06",856,"Public","FL"
"45","ADMIRAL FARRAGUT ACADEMY",1,"2020-10-24","2020-09-06",440,"Private","FL"
"46","ADMIRAL FARRAGUT ACADEMY",1,"2020-11-21","2020-09-06",440,"Private","FL"
"47","ADVANCE LEARNING ACADEMY",2,"2020-10-24","2020-09-06",60,"Private","FL"
"48","ADVANCE LEARNING ACADEMY",2,"2020-11-21","2020-09-06",60,"Private","FL"
"49","ADVANTAGE ACADEMY OF HILLSBOROUGH",1,"2020-10-24","2020-09-06",461,"Public","FL"
"50","ADVANTAGE ACADEMY OF HILLSBOROUGH",1,"2020-11-21","2020-09-06",461,"Public","FL"
"51","ADVENT LUTHERAN SCHOOL",1,"2020-10-24","2020-09-06",150,"Private","FL"
"52","ADVENT LUTHERAN SCHOOL",4,"2020-11-21","2020-09-06",150,"Private","FL"
"53","ADVENTURE CHRISTIAN ACADEMY",1,"2020-10-24","2020-09-06",188,"Private","FL"
"54","ADVENTURE CHRISTIAN ACADEMY",1,"2020-11-21","2020-09-06",188,"Private","FL"
"55","AIR BASE K-8 CENTER FOR INTERNATIONAL EDUCATION",2,"2020-11-21","2020-09-06",1117,"Public","FL"
"56","ALACHUA ELEMENTARY SCHOOL",1,"2020-10-24","2020-09-06",334,"Public","FL"
"57","ALACHUA ELEMENTARY SCHOOL",2,"2020-11-21","2020-09-06",334,"Public","FL"
"58","ALAFIA ELEMENTARY SCHOOL",0,"2020-11-21","2020-09-06",655,"Public","FL"
"59","ALAZHAR SCHOOL",0,"2020-11-21","2020-09-06",207,"Private","FL"
"60","ALDEN ROAD EXCEP. STUDENT CENTER",2,"2020-10-24","2020-09-06",186,"Public","FL"
"61","ALDEN ROAD EXCEP. STUDENT CENTER",2,"2020-11-21","2020-09-06",186,"Public","FL"
"62","ALETHEIA CHRISTIAN ACADEMY",2,"2020-10-24","2020-09-06",234,"Private","FL"
"63","ALETHEIA CHRISTIAN ACADEMY",2,"2020-11-21","2020-09-06",234,"Private","FL"
"64","ALEXANDER ELEMENTARY SCHOOL",1,"2020-10-24","2020-09-06",601,"Public","FL"
"65","ALEXANDER ELEMENTARY SCHOOL",2,"2020-11-21","2020-09-06",601,"Public","FL"
"66","ALEXANDER W DREYFOOS JUNIOR SCHOOL OF THE ARTS",3,"2020-10-24","2020-09-06",1382,"Public","FL"
"67","ALEXANDER W DREYFOOS JUNIOR SCHOOL OF THE ARTS",16,"2020-11-21","2020-09-06",1382,"Public","FL"
"68","ALFRED ADLER ELEMENTARY SCHOOL",0,"2020-11-21","2020-09-06",91,"Public","FL"
"69","ALFRED I. DUPONT MIDDLE SCHOOL",0,"2020-10-24","2020-09-06",880,"Public","FL"
"70","ALFRED I. DUPONT MIDDLE SCHOOL",2,"2020-11-21","2020-09-06",880,"Public","FL"
"71","ALICE B. LANDRUM MIDDLE SCHOOL",12,"2020-10-24","2020-09-06",1230,"Public","FL"
"72","ALICE B. LANDRUM MIDDLE SCHOOL",15,"2020-11-21","2020-09-06",1230,"Public","FL"
"73","ALL SAINTS CATHOLIC SCHOOL",2,"2020-10-24","2020-09-06",248,"Private","FL"
"74","ALL SAINTS CATHOLIC SCHOOL",4,"2020-11-21","2020-09-06",248,"Private","FL"
"75","ALL SOULS CATHOLIC SCHOOL",6,"2020-11-21","2020-09-06",197,"Private","FL"
"76","ALLAMANDA ELEMENTARY SCHOOL",1,"2020-10-24","2020-09-06",719,"Public","FL"
"77","ALLAMANDA ELEMENTARY SCHOOL",3,"2020-11-21","2020-09-06",719,"Public","FL"
"78","ALLAPATTAH FLATS K-8",0,"2020-10-24","2020-09-06",1044,"Public","FL"
"79","ALLAPATTAH FLATS K-8",1,"2020-11-21","2020-09-06",1044,"Public","FL"
"80","ALLEN D NEASE SENIOR HIGH SCHOOL",17,"2020-10-24","2020-09-06",2628,"Public","FL"
