State,State_Abbr,Status,Details,Disclaimer
Alabama,AL,Varies by school/district/dependent on local health authorities,"Districts will make the decision on whether to open school buildings. The state board of education encourages that all schools provide, at a minimum, access to both traditional and remote learning throughout the 2020-21 school year.",
Alaska,AK,Varies by school/district/dependent on local health authorities,Each school district will decide when and if to reopen buildings. The state departments of education and health created a framework and guidance to help districts as they decide how to provide instruction.,
Arizona,AZ,Varies by school/district/dependent on local health authorities,"School districts, in conjunction with their local health departments, must consider benchmarks on new cases, diagnostic test percent positivity, and COVID-19 related hospitalizations to determine when in-person classes can begin again. Starting Aug. 17, districts are required to provide “free on-site learning opportunities” and support services for students who need access to a computer or a supervised place to be during the day, even if the school system has opted for full-time distance learning.",
Arkansas,AR,State-ordered in-person instruction available part-time or full-time*,Education Secretary Johnny Key issued guidance Aug. 5 that requires districts to offer in-person instruction five days a week when classes resume. Districts were required to open their schools as soon as Aug. 24 and as late as Aug. 26.,<i>*Orders include public statements or actions from governors and state officials. They may be subject to waivers or overridden by other officials.</i>
California,CA,State-ordered regional closure in effect,"Each local district will decide when to open, and whether to reopen buildings or conduct instruction virtually. However, on July 17, Gov. Gavin Newsom said that schools must provide instruction remotely unless their counties have been off the state’s coronavirus “watchlist” for 14 consecutive days. The state issued detailed guidance on things districts should consider before reopening.",<i>*Orders include public statements or actions from governors and state officials. They may be subject to waivers or overridden by other officials.</i>
Colorado,CO,Varies by school/district/dependent on local health authorities,"Reopening plans are made locally, but whether classes can start in-person will ultimately be determined by state and local public health orders in August. The reopening guidance for schools put out by the state recommends that districts have a variety of plans in place in addition to in-person classes, including teaching students in small groups and through distance learning.",
Connecticut,CT,Varies by school/district/dependent on local health authorities,"Districts were asked to plan for all students to return to school for full-time, in-person instruction this fall as long as public health conditions support face-to-face teaching.",
Delaware,DE,Only hybrid or remote instruction allowed,"On Aug. 5, Gov. John Carney announced schools would reopen with a mix of in-person and remote instruction, based on “minimal to moderate” viral spread among communities. (Private schools so far plan to follow the guidance as well.) The state will provide free at-home COVID-19 testing for teachers and staff before schools reopen and regularly thereafter, with community sites also set up for students to be tested in the weeks just before the start of school.",
District of Columbia,DC,State ordered closure in effect (including states where openings are delayed),"The District of Columbia Public Schools will continue with distance learning for at least the first term of the 2020-21 school year, from Aug. 31 through Nov. 6, Mayor Muriel Bowser announced.",<i>*Orders include public statements or actions from governors and state officials. They may be subject to waivers or overridden by other officials.</i>
Florida,FL,Varies by school/district/dependent on local health authorities,"A state court judge on Aug. 24 issued a temporary injunction blocking a state emergency order requiring all brick-and-mortar schools to open at least five days a week. That means that, for now, districts will be able to make their own decisions about in-person learning. (An appeal and additional litigation is possible.) Many Florida districts, however, are likely to continue both in-person and remote schooling.",
Georgia,GA,Varies by school/district/dependent on local health authorities,"Districts will decide whether to open school buildings, open them on a limited basis as part of a staggered schedule, or use an all-remote schedule. Those decisions should be informed by whether students and/or staff have been directly exposed to or diagnosed with COVID-19.",
Hawaii,HI,State-ordered regional closure in effect,"As a statewide district, Hawaii schools reopened on Aug. 17. In some areas, schools may offer a blend of in-person and remote learning, but in others, due to rising coronavirus rates, they are allowed to teach only remotely.",<i>*Orders include public statements or actions from governors and state officials. They may be subject to waivers or overridden by other officials.</i>
Idaho,ID,Varies by school/district/dependent on local health authorities,"Schools are expected to welcome students for in-person instruction this fall, while adhering to public health guidelines and maintaining options for blended learning for students who don't return and in case of a return to full-time remote learning.",
Illinois,IL,Varies by school/district/dependent on local health authorities,"Districts can decide whether to open school buildings, following health and safety guidance from the state. However, the Illinois State Board of Education has ""strongly encouraged"" a return to full, in-person instruction in the fall, as long as the regions are in Phase 4 of reopening.",
Indiana,IN,Varies by school/district/dependent on local health authorities,"School buildings were allowed to reopen starting July 1 per Gov. Eric Holcomb’s executive order, but districts set their own academic calendars and can make individual decisions about when or if students return to in-person classes.",
Iowa,IA,State-ordered in-person instruction available part-time or full-time*,"On July 17, Gov. Reynolds, overriding local decisions, ordered every student to spend at least half of their schooling inside classrooms. Districts must also provide online classes for parents who demand it. Temporary/continuous remote learning for an entire school or district can only be requested if the  COVID-19 positivity rate averages 15 percent to 20 percent countywide over the past 14 days, and 10 percent absenteeism is expected for in-person instruction.",<i>*Orders include public statements or actions from governors and state officials. They may be subject to waivers or overridden by other officials.</i>
Kansas,KS,Varies by school/district/dependent on local health authorities,The Kansas Board of Education voted July 22 to reject an order by Gov. Laura Kelly that would have delayed the start of school until Sept. 8. The vote put the decision on when to reopen back in the hands of local school districts.,
Kentucky,KY,Varies by school/district/dependent on local health authorities,"Gov. Andy Beshear has recommended that schools should not begin in-person classes before Sept. 28. Once they return to buildings, all students, except those in preschool or kindergarten, will be required to wear masks in in-person classes.",
Louisiana,LA,Varies by school/district/dependent on local health authorities,"While school districts can choose when to reopen, the state's board of education has dictated a series of standards districts must meet before they reopen.",
Maine,ME,Varies by school/district/dependent on local health authorities,"The state has approved all schools to offer in-person instruction this fall with required health and safety measures, but individual districts will make their own decisions.",
Maryland,MD,Varies by school/district/dependent on local health authorities,"Local districts must submit plans for reopening by Aug. 14. The state allows districts to make plans for in-person classes, as long as they follow state and federal health recommendations.",
Massachusetts,MA,Varies by school/district/dependent on local health authorities,"Districts and charter schools must finalize their return-to-school plans for in-person, hybrid and remote learning, submit them to the state department of education, and release them publicly. The state’s Return-to-School Working Group is prioritizing in-person learning.",
Michigan,MI,Varies by school/district/dependent on local health authorities,Gov. Gretchen Whitmer said in-person learning can only occur in a region that's in at least phase four of her reopening plan. The state legislature passed a measure that says districts must reconfirm their plans on how to deliver instruction every 30 days. Districts that reopen for in-person instruction must prioritize K-5 students.,
Minnesota,MN,Varies by school/district/dependent on local health authorities,"Districts can determine whether to start the school year remotely, fully in-person, or in a hybrid model based on the number of new coronavirus cases in their county. The state developed suggested thresholds for when school buildings can reopen, and districts can adjust their learning models throughout the school year if needed.",
Mississippi,MS,Varies by school/district/dependent on local health authorities,"Districts may choose to open school buildings, but they must modify schedules, restrict gatherings, and observe social distancing in accordance with state and federal recommendations.",
Missouri,MO,State-ordered in-person instruction available part-time or full-time*,"Districts are required to open by Aug. 24, but can receive a waiver from the state's department of education to open later. Students must be in school at least two days a week.",<i>*Orders include public statements or actions from governors and state officials. They may be subject to waivers or overridden by other officials.</i>
Montana,MT,Varies by school/district/dependent on local health authorities,"The state department of education issued July guidance on four possible reopening scenarios, including for ""near full capacity of attendance and operations in a traditional setting, with remote learning for students not onsite."" Under this scenario, there is no limit on group sizes in schools, but social distancing should be observed, and monitoring for symptoms of COVID-19 should still take place, the guidance says.",
Nebraska,NE,Varies by school/district/dependent on local health authorities,Nebraska Gov. Pete Ricketts has given districts discretion to set their own reopening plans using guidance from the state’s education department. That guidance advises remote or hybrid learning plans in communities with significant or moderate spread.,
Nevada,NV,Varies by school/district/dependent on local health authorities,"Guidance from the Nevada education department says school districts and charters must develop distance learning plans ""even if
a district/school has sufficient space to open for full-time in-person instruction"" under the second phase of the state's reopening guidelines. However, states must also develop plans that cover in-person learning, under a directive from Gov. Steve Sisolak.",
New Hampshire,NH,Varies by school/district/dependent on local health authorities,"Local districts will decide whether they open for full-time, in-person teaching, continue with remote instruction, or employ a combination of the two as part of hybrid models.",
New Jersey,NJ,Varies by school/district/dependent on local health authorities,"Districts develop their own reopening plans. While state guidance released June 26 prioritized a return to in-person classes, on Aug. 12, Gov. Phil Murphy announced an executive order that schools could open as remote-only if they cannot meet health and safety standards for live instruction. However, districts must lay out how they intend to address the health and safety challenges to move to in-person instruction.",
New Mexico,NM,State ordered closure in effect (including states where openings are delayed),"Schools cannot hold in-person classes until at least Sept. 8, although districts can start the academic year earlier with remote-only instruction. Students will return to buildings under a hybrid model where they will alternate between in-person classes and distance learning.",<i>*Orders include public statements or actions from governors and state officials. They may be subject to waivers or overridden by other officials.</i>
New York,NY,Varies by school/district/dependent on local health authorities,"School districts across the state can reopen in-person in the fall, though that may be revised on a regional basis if COVID-19 infection rates increase. School systems will have to follow state guidelines, but the specifics of the plans--including whether teaching will be delivered in-person or via a hybrid model-- will be up to the districts.",
North Carolina,NC,Only hybrid or remote instruction allowed,"When North Carolina students return to school, they'll do so under a plan to limit on-campus attendance, Gov. Roy Cooper announced July 14. Districts must offer online learning for students who are at higher health risks or who choose not to return. Districts can choose a fully-remote option if the infection rates in their area are high.",
North Dakota,ND,Varies by school/district/dependent on local health authorities,Gov. Doug Burgum said July 14 that school districts could reopen for in-person instruction in consultation with local health officials.,
Ohio,OH,Varies by school/district/dependent on local health authorities,"Districts will decide whether to open school buildings, but the state department of education has said that they should only do so if they can follow the state's health and safety guidance. All students attending school in person will be required to wear masks, with some medical exemptions.",
Oklahoma,OK,Varies by school/district/dependent on local health authorities,The state has advised districts in its reopening guidance to prepare alternate school calendars for potential school closures. Individual school districts will determine when to start school this fall.,
Oregon,OR,Varies by school/district/dependent on local health authorities,"A guidance document from the state department of education outlines state and county COVID-19 metrics that determine whether districts can open buildings part-time or full-time. The state is offering allowances for districts, particularly those that are small or rural, to offer limited in-person instruction to specific groups of students.",
