Country,Type,Event,Date effective,Link,,
Austria,Schools + Universities,Nationwide school closures.,14.03.2020,https://www.bmbwf.gv.at/Ministerium/Informationspflicht/corona/corona_status.html,,
Austria,Public events,Banning of gatherings of more than 10 people. ,10.03.2020,https://www.theguardian.com/world/2020/mar/10/coronavirus-several-eu-states-ban-mass-events-after-italian-lockdown,,
Austria,Lockdown,Banning all access to public spaces and gatherings of more than 5 people. Advice to maintain 1m distance.,16.03.2020,https://www.sozialministerium.at/Informationen-zum-Coronavirus/Coronavirus---Aktuelle-Ma%C3%9Fnahmen.html,Document on website: Verordnung_V20200325-web,
Austria,Social distancing encouraged,Recommendation to maintain a distance of 1m.,16.03.2020,https://www.sozialministerium.at/Informationen-zum-Coronavirus/Coronavirus---Aktuelle-Ma%C3%9Fnahmen.html,Document on website: Verordnung_V20200325-web,
Austria,Self-isolating if ill,Implemented at lockdown.,16.03.2020,https://www.sozialministerium.at/Informationen-zum-Coronavirus/Coronavirus---Aktuelle-Ma%C3%9Fnahmen.html,,
Belgium,Schools + Universities,Nationwide school closures.,14.03.2020,https://www.info-coronavirus.be/en/2020/03/12/phase-2-maintained-transition-to-the-federal-phase-and-additional-measures/,,
Belgium,Public events,All recreational activities cancelled regardless of size.,12.03.2020,https://www.info-coronavirus.be/en/2020/03/12/phase-2-maintained-transition-to-the-federal-phase-and-additional-measures/,,
Belgium,Lockdown,Citizens are required to stay at home except for work and essential journeys. Going outdoors only with household members or 1 friend.,18.03.2020,https://www.belgium.be/en/news/2020/coronavirus_reinforced_measures,,
Belgium,Social distancing encouraged,"Public transport recommended only for essential journeys, work from home encouraged, all public places e.g. restaurants closed.",14.03.2020,https://www.info-coronavirus.be/en/2020/03/12/phase-2-maintained-transition-to-the-federal-phase-and-additional-measures/,,
Belgium,Self-isolating if ill,Everyone should stay at home if experiencing a cough or fever.,10.03.2020,https://www.info-coronavirus.be/en/2020/03/10/protect-yourself-and-protect-the-others/,,
Denmark,Schools + Universities,Secondary schools shut and universities (primary schools also shut on 16th).,13.03.2020,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Denmark,,
Denmark,Public events,"Bans of events >100 people, closes cultural institutions, leisure facilities etc.",12.03.2020,https://nyheder.tv2.dk/samfund/2020-03-11-danmark-lukker-ned-her-er-regeringens-nye-tiltag,,
Denmark,Lockdown,Bans of gatherings of >10 people in public and all public places were shut.,18.03.2020,https://nyheder.tv2.dk/samfund/2020-03-11-danmark-lukker-ned-her-er-regeringens-nye-tiltag,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Denmark,
Denmark,Social distancing encouraged,Limited use of public transport. All cultural institutions shut and recommendation to keep appropriate distance.,13.03.2020,https://politi.dk/coronavirus-i-danmark/seneste-nyt-fra-myndighederne/nye-tiltag-mod-covid-19,,
Denmark,Self-isolating if ill,Everyone should stay at home if experiencing a cough or fever.,12.03.2020,https://stps.dk/da/ansvar-og-retningslinjer/vejledning/indberetning-om-covid-19/,,
France,Schools + Universities,Nationwide school closures.,14.03.2020,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_France,,
France,Public events,Bans of events >100 people.,13.03.2020,https://www.thelocal.fr/20200313/france-bans-gatherings-of-over-100-people-to-fight-coronavirus-pandemic,,
France,Lockdown,Everybody has to stay at home. Need a self-authorisation form to leave home.,17.03.2020,https://www.theguardian.com/world/2020/mar/16/coronavirus-spain-takes-over-private-healthcare-amid-more-european-lockdowns,,
France,Social distancing encouraged,Advice at the time of lockdown.,16.03.2020,https://www.theguardian.com/world/2020/mar/16/coronavirus-spain-takes-over-private-healthcare-amid-more-european-lockdowns,,
France,Self-isolating if ill,Advice at the time of lockdown.,16.03.2020,https://www.theguardian.com/world/2020/mar/16/coronavirus-spain-takes-over-private-healthcare-amid-more-european-lockdowns,,
Germany,Schools + Universities,Nationwide school closures.,14.03.2020,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Germany,,
Germany,Public events,No gatherings of >1000 people (12th March). Otherwise regional destrictions only until lockdown.,22.03.2020,https://web.archive.org/web/20200317073042/https://www.bmi.bund.de/SharedDocs/faqs/DE/themen/bevoelkerungsschutz/coronavirus/coronavirus-faqs.html#doc13738352bodyText7,,
Germany,Lockdown,"Gatherings of > 2 people banned, 1.5 m distance",22.03.2020,https://www.bmi.bund.de/SharedDocs/downloads/DE/veroeffentlichungen/2020/hinweis-einschraenkung-soziale-kontakte.pdf?__blob=publicationFile&v=1,https://www.bbc.co.uk/news/world-europe-51999080,
Germany,Social distancing encouraged,Avoid social interaction wherever possible recommended by Merkel,12.03.2020,https://www.bundesregierung.de/breg-de/themen/coronavirus/mpk-1730186,,
Germany,Self-isolating if ill,Advice for everyone experiencing symptoms to contact a health care agency to get tested and then self-isolate.,06.03.2020,https://web.archive.org/web/20200312004624/https://www.rki.de/SharedDocs/FAQ/NCOV2019/FAQ_Liste.html,,
Italy,Schools + Universities,Nationwide school closures.,05.03.2020,http://www.salute.gov.it/portale/nuovocoronavirus/dettaglioVideoNuovoCoronavirus.jsp?lingua=italiano&menu=multimedia&p=video&id=2052,,
Italy,Public events,The government bans all public events.,09.03.2020,https://edition.cnn.com/2020/03/08/europe/italy-coronavirus-lockdown-europe-intl/index.html,,
Italy,Lockdown,The government closes all public places. People have to stay at home except for essential travel.,11.03.2020,https://www.wsj.com/articles/italy-hardens-nationwide-quarantine-11583962093,https://en.wikipedia.org/wiki/2020_Italy_coronavirus_lockdown,
Italy,Social distancing encouraged,A distance of more than 1m has to be kept and any other form of alternative aggregation is to be excluded.,09.03.2020,https://www.romatoday.it/attualita/coronavirus-pub-cinema-teatri-locali-chiusi-nuovo-decreto.html,,
Italy,Self-isolating if ill,self-isolate if ill and quarantine if tested positive,09.03.2020,https://www.gazzettaufficiale.it/eli/id/2020/03/08/20A01522/sg,,
Norway,Schools + Universities,Norwegian Directorate of Health closes all educational institutions. Including childcare facilities and all schools,13.03.2020,https://www.fhi.no/en/news/2020/norwegian-directorate-of-health-implements-the-following-today---from-6-p.m/,,
