"country","age","pop"
"Belgium",0,122223
"Belgium",1,125295
"Belgium",2,127873
"Belgium",3,129989
"Belgium",4,130568
"Belgium",5,132193
"Belgium",6,133398
"Belgium",7,134205
"Belgium",8,134641
"Belgium",9,134834
"Belgium",10,134911
"Belgium",11,134379
"Belgium",12,133056
"Belgium",13,131278
"Belgium",14,129575
"Belgium",15,127856
"Belgium",16,126723
"Belgium",17,126533
"Belgium",18,127070
"Belgium",19,127589
"Belgium",20,128038
"Belgium",21,129450
"Belgium",22,132201
"Belgium",23,135761
"Belgium",24,139297
"Belgium",25,143063
"Belgium",26,145867
"Belgium",27,147059
"Belgium",28,147193
"Belgium",29,147456
"Belgium",30,147585
"Belgium",31,147882
"Belgium",32,148610
"Belgium",33,149559
"Belgium",34,150321
"Belgium",35,151055
"Belgium",36,151414
"Belgium",37,151212
"Belgium",38,150679
"Belgium",39,150218
"Belgium",40,149734
"Belgium",41,149583
"Belgium",42,149975
"Belgium",43,150749
"Belgium",44,151476
"Belgium",45,152176
"Belgium",46,153120
"Belgium",47,154381
"Belgium",48,155819
"Belgium",49,157139
"Belgium",50,158296
"Belgium",51,159443
"Belgium",52,160595
"Belgium",53,161597
"Belgium",54,162345
"Belgium",55,162938
"Belgium",56,162560
"Belgium",57,160819
"Belgium",58,158085
"Belgium",59,155213
"Belgium",60,152146
"Belgium",61,148644
"Belgium",62,144713
"Belgium",63,140508
"Belgium",64,135988
"Belgium",65,130934
"Belgium",66,126833
"Belgium",67,124348
"Belgium",68,122721
"Belgium",69,120861
"Belgium",70,119384
"Belgium",71,115774
"Belgium",72,108790
"Belgium",73,99815
"Belgium",74,91216
"Belgium",75,82224
"Belgium",76,75539
"Belgium",77,72648
"Belgium",78,72151
"Belgium",79,71184
"Belgium",80,70348
"Belgium",81,68628
"Belgium",82,65240
"Belgium",83,60746
"Belgium",84,56604
"Belgium",85,52648
"Belgium",86,48224
"Belgium",87,43194
"Belgium",88,37826
"Belgium",89,32026
"Belgium",90,27169
"Belgium",91,23564
"Belgium",92,19237
"Belgium",93,14186
"Belgium",94,10675
"Belgium",95,9167
"Belgium",96,7569
"Belgium",97,5479
"Belgium",98,2897
"Belgium",99,1553
"Belgium",100,1773
"Sweden",0,120927
"Sweden",1,120269
"Sweden",2,119784
"Sweden",3,119430
"Sweden",4,117259
"Sweden",5,118054
"Sweden",6,118621
"Sweden",7,118945
"Sweden",8,119007
"Sweden",9,118949
"Sweden",10,118914
"Sweden",11,118079
"Sweden",12,116104
"Sweden",13,113454
"Sweden",14,111164
"Sweden",15,109301
"Sweden",16,107418
"Sweden",17,105482
"Sweden",18,103895
"Sweden",19,102421
"Sweden",20,100301
"Sweden",21,102177
"Sweden",22,110081
"Sweden",23,121542
"Sweden",24,132382
"Sweden",25,143827
"Sweden",26,151130
"Sweden",27,151629
"Sweden",28,147639
"Sweden",29,144253
"Sweden",30,140593
"Sweden",31,137027
"Sweden",32,134299
"Sweden",33,132107
"Sweden",34,129438
"Sweden",35,126524
"Sweden",36,124140
"Sweden",37,122582
"Sweden",38,121695
"Sweden",39,120897
"Sweden",40,120140
"Sweden",41,120355
"Sweden",42,121891
"Sweden",43,124289
"Sweden",44,126630
"Sweden",45,128974
"Sweden",46,131188
"Sweden",47,133078
"Sweden",48,134599
"Sweden",49,136066
"Sweden",50,137606
"Sweden",51,137767
"Sweden",52,135916
"Sweden",53,132738
"Sweden",54,129548
"Sweden",55,126080
"Sweden",56,123037
"Sweden",57,120900
"Sweden",58,119345
"Sweden",59,117671
"Sweden",60,116153
"Sweden",61,114375
"Sweden",62,112109
"Sweden",63,109691
"Sweden",64,107290
"Sweden",65,104391
"Sweden",66,103560
"Sweden",67,105937
"Sweden",68,110090
"Sweden",69,113682
"Sweden",70,117459
"Sweden",71,118351
"Sweden",72,114682
"Sweden",73,107959
"Sweden",74,101489
"Sweden",75,94768
"Sweden",76,87914
"Sweden",77,81371
"Sweden",78,75058
"Sweden",79,68398
"Sweden",80,61443
"Sweden",81,55329
"Sweden",82,50545
"Sweden",83,46677
"Sweden",84,42826
"Sweden",85,39176
"Sweden",86,35583
"Sweden",87,31887
"Sweden",88,28198
"Sweden",89,24564
"Sweden",90,21849
"Sweden",91,19316
"Sweden",92,16072
"Sweden",93,12155
"Sweden",94,9402
"Sweden",95,8223
"Sweden",96,6897
"Sweden",97,5155
"Sweden",98,2995
"Sweden",99,1628
"Sweden",100,2186
