location_id,StateFIPS,StatePostal,StateName,StatePolicy,Mandate,DateIssued,DateEnacted,DateExpiry,DateEnded,PolicyCodingNotes,PolicySource,StateWide,LastUpdated,LastUpdatedNotes
523,1,AL,Alabama,EmergDec,1,20200313,20200313,,,Public Health Emergency,https://governor.alabama.gov/newsroom/2020/03/third-supplemental-state-of-emergency-coronavirus-covid-19/,1,20200324,
523,1,AL,Alabama,SchoolClose,1,20200314,20200318,,,in effect 20200318. 20200319 issuance also closed all public/private schools (20200314 is public school only): https://governor.alabama.gov/assets/2020/03/Alabama-State-Health-Officer-Statewide-Social-Distancing-Order-3.19.20.pdf,http://alabamapublichealth.gov/legal/assets/420-4-1.13-er.pdf,1,20200324,
523,1,AL,Alabama,GathRestrict25,1,20200319,20200319,,,"In effect as of 5 pm 20200319. On 20200320, amendment was made to clarify that it was all non-work gatherings of 25 or more: http://alabamapublichealth.gov/legal/assets/420-4-1.13-er.pdf",https://governor.alabama.gov/assets/2020/03/Alabama-State-Health-Officer-Statewide-Social-Distancing-Order-3.19.20.pdf,1,20200420,"Updated DateEnacted to 20200319 per state health order, was originally 20200320."
523,1,AL,Alabama,GathRestrictAny,1,20200319,20200319,,,"In effect as of 5 pm 20200319. On 20200320, amendment was made to clarify that it was all non-work gatherings of 25 or more: http://alabamapublichealth.gov/legal/assets/420-4-1.13-er.pdf",https://governor.alabama.gov/assets/2020/03/Alabama-State-Health-Officer-Statewide-Social-Distancing-Order-3.19.20.pdf,1,20200420,"Updated DateEnacted to 20200319 per state health order, was originally 20200320."
523,1,AL,Alabama,OtherBusinessClose,1,20200319,20200319,,,All beaches close effective at 5 pm 20200319,https://governor.alabama.gov/assets/2020/03/Alabama-State-Health-Officer-Statewide-Social-Distancing-Order-3.19.20.pdf,1,20200420,"Updated DateEnacted to 20200319 per state health order, was originally 20200320."
523,1,AL,Alabama,RestaurantRestrict,1,20200319,20200319,,,"Limited operations required: restaurants, bars, breweries. In effect at 5 pm on 20200319",https://governor.alabama.gov/assets/2020/03/Alabama-State-Health-Officer-Statewide-Social-Distancing-Order-3.19.20.pdf,1,20200420,"Updated DateEnacted to 20200319 per state health order, was originally 20200320."
523,1,AL,Alabama,StayAtHome,1,20200324,20200324,20200403,,Limited to Birmingham only. Framed as shelter-in-place and curfew. Active as of noon on March 24,https://htv-prod-media.s3.amazonaws.com/files/2020-3-24-city-of-birminghamshelter-in-place-ordinance-1585073524.pdf,0,20200329,Added Birmingham only StayAtHome
523,1,AL,Alabama,GathRestrict10,1,20200327,20200328,20200417,,"Clearly statewide now, not limited to Birmingham",http://www.alabamapublichealth.gov/legal/assets/order-adph-cov-gatherings-032720.pdf,1,20200412,Added expiry date
523,1,AL,Alabama,OtherBusinessClose,1,20200327,20200328,20200417,,"Non-essential business categories closed included entertainment venues, retail shops, personal care services, and athletic faciltiies. Not considered full NEBusinessClose yet due to only listing of additional types of businsess to close.",https://www.alabamapublichealth.gov/news/2020/03/27.html,1,20200331,
523,1,AL,Alabama,StayAtHome,1,20200403,20200404,20200430,,Goes into effect at 5 pm on 20200403,http://www.alabamapublichealth.gov/legal/assets/soe-covid19-stamped-040320.pdf,1,20200403,
