Study,Age Group,Median Age,Population,Infections,Deaths,,Infection Rate,Lower Bound,Upper Bound,,,Lower Bound,Upper Bound,,,,,,,
Iceland,0-29,15,"135,576",554,0,,0.41,0.3,0.5,,0.0,0,0.05,,,,,,,
Iceland,30-39,35,"46,871",469,1,,1.1,0.8,1.6,,0.2,0.0,1.3,,,,,,,
Iceland,40-49,45,"42,966",644,0,,1.5,1.1,2.0,,0.0,0.0,0.6,,,,,,,
Iceland,50-59,55,"42,111",337,0,,0.8,0.5,1.3,,0.0,0.0,1.3,,,,,,,
Iceland,60-69,65,"37,536",188,2,,0.5,0.3,1.0,,0.9,0.1,3.6,,,,,,,
Iceland,70-79,75,"23,415",70,3,,0.3,0.3,1.3,,4.3,0.7,35.2,,,,,,,
Iceland,80+,83,"12,775",26,4,,0.2,0.1,2.5,,15.7,1.8,50.0,,,,,,,
Korea,0-29,15,"15,623,365","4,337",0,,0.06,0.03,0.08,,0.00,0.00,0.01,,,,,,,
Korea,30-39,35,"7,079,839","1,553",2,,0.04,0.02,0.07,,0.06,0.00,0.35,,,,,,,
Korea,40-49,45,"8,218,844","1,711",3,,0.04,0.02,0.06,,0.09,0.00,0.40,,,,,,,
Korea,50-59,55,"8,476,699","2,341",15,,0.06,0.03,0.08,,0.32,0.15,0.80,,,,,,,
Korea,60-69,65,"6,453,706","1,721",41,,0.05,0.03,0.08,,1.19,0.75,2.60,,,,,,,
Korea,70-79,75,"3,560,646",877,84,,0.05,0.03,0.07,,4.79,3.20,9.55,,,,,,,
Korea,80+,84,"1,856,084",566,144,,0.06,0.03,0.09,,12.72,8.00,22.15,,,,,,,
New Zealand,0-29,15,"1,911,472",528,0,,0.055,0.030,0.083,,0,0.0,0.1,,,,,,,
New Zealand,30-39,35,"619,066",343,0,,0.079,0.044,0.119,,0.00,0.0,0.9,,,,,,,
New Zealand,40-49,45,"591,874",309,0,,0.075,0.041,0.112,,0.00,0.0,0.9,,,,,,,
New Zealand,50-59,55,"628,691",347,0,,0.079,0.043,0.118,,0.00,0.0,0.9,,,,,,,
New Zealand,60-69,65,"522,312",252,3,,0.069,0.038,0.103,,0.83,0.2,2.8,,,,,,,
New Zealand,70-79,74,"361,832",111,7,,0.044,0.024,0.066,,4.43,1.6,10.9,,,,,,,
New Zealand,80+,84,"186,985",55,12,,0.042,0.023,0.063,,15.38,7.2,31.9,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
