region;Emergency;Restriction on Retail and Services;Restriction on  Transport;School Closing
AC;20/03/2020;20/03/2020;20/03/2020;20/03/2020
AL;20/03/2020;21/03/2020;19/03/2020;23/03/2020
AM;16/03/2020;23/03/2020;23/03/2020;19/03/2020
AP;20/03/2020;23/03/2020;23/03/2020;17/03/2020
BA;19/03/2020;19/03/2020;20/03/2020;19/03/2020
CE;19/03/2020;19/03/2020;19/03/2020;19/03/2020
DF;28/02/2020;23/03/2020;18/03/2020;11/03/2020
ES;16/03/2020;20/03/2020;23/03/2020;17/03/2020
GO;13/03/2020;24/03/2020;24/03/2020;16/03/2020
MA;19/03/2020;23/03/2020;23/03/2020;17/03/2020
MG;12/03/2020;23/03/2020;23/03/2020;18/03/2020
MS;19/03/2020;19/03/2020;25/03/2020;24/03/2020
MT;23/03/2020;23/03/2020;18/03/2020;23/03/2020
PA;20/03/2020;20/03/2020;23/03/2020;17/03/2020
PB;21/03/2020;21/03/2020;19/03/2020;17/03/2020
PE;21/03/2020;14/03/2020;21/03/2020;18/03/2020
PI;19/03/2020;23/03/2020;23/03/2020;16/03/2020
PR;19/03/2020;23/03/2020;20/03/2020;18/03/2020
RJ;16/03/2020;20/03/2020;13/03/2020;20/03/2020
RN;20/03/2020;21/03/2020;21/03/2020;18/03/2020
RO;20/03/2020;21/03/2020;;17/03/2020
RR;23/03/2020;23/03/2020;20/02/2020;20/03/2020
RS;19/03/2020;19/03/2020;20/03/2020;19/03/2020
SC;17/03/2020;18/03/2020;18/03/2020;19/03/2020
SE;16/03/2020;20/03/2020;20/03/2020;16/03/2020
SP;20/03/2020;22/03/2020;22/03/2020;21/03/2020
TO;21/03/2020;21/03/2020;21/03/2020;16/03/2020
SPm;20/03/2020;22/03/2020;22/03/2020;21/03/2020
