regiao,estado,data,casosNovos,casosAcumulados,obitosNovos,obitosAcumulados
Norte,RO,2020-01-30,0,0,0,0
Norte,RO,2020-01-31,0,0,0,0
Norte,RO,2020-02-01,0,0,0,0
Norte,RO,2020-02-02,0,0,0,0
Norte,RO,2020-02-03,0,0,0,0
Norte,RO,2020-02-04,0,0,0,0
Norte,RO,2020-02-05,0,0,0,0
Norte,RO,2020-02-06,0,0,0,0
Norte,RO,2020-02-07,0,0,0,0
Norte,RO,2020-02-08,0,0,0,0
Norte,RO,2020-02-09,0,0,0,0
Norte,RO,2020-02-10,0,0,0,0
Norte,RO,2020-02-11,0,0,0,0
Norte,RO,2020-02-12,0,0,0,0
Norte,RO,2020-02-13,0,0,0,0
Norte,RO,2020-02-14,0,0,0,0
Norte,RO,2020-02-15,0,0,0,0
Norte,RO,2020-02-16,0,0,0,0
Norte,RO,2020-02-17,0,0,0,0
Norte,RO,2020-02-18,0,0,0,0
Norte,RO,2020-02-19,0,0,0,0
Norte,RO,2020-02-20,0,0,0,0
Norte,RO,2020-02-21,0,0,0,0
Norte,RO,2020-02-22,0,0,0,0
Norte,RO,2020-02-23,0,0,0,0
Norte,RO,2020-02-24,0,0,0,0
Norte,RO,2020-02-25,0,0,0,0
Norte,RO,2020-02-26,0,0,0,0
Norte,RO,2020-02-27,0,0,0,0
Norte,RO,2020-02-28,0,0,0,0
Norte,RO,2020-02-29,0,0,0,0
Norte,RO,2020-03-01,0,0,0,0
Norte,RO,2020-03-02,0,0,0,0
Norte,RO,2020-03-03,0,0,0,0
Norte,RO,2020-03-04,0,0,0,0
Norte,RO,2020-03-05,0,0,0,0
Norte,RO,2020-03-06,0,0,0,0
Norte,RO,2020-03-07,0,0,0,0
Norte,RO,2020-03-08,0,0,0,0
Norte,RO,2020-03-09,0,0,0,0
Norte,RO,2020-03-10,0,0,0,0
Norte,RO,2020-03-11,0,0,0,0
Norte,RO,2020-03-12,0,0,0,0
Norte,RO,2020-03-13,0,0,0,0
Norte,RO,2020-03-14,0,0,0,0
Norte,RO,2020-03-15,0,0,0,0
Norte,RO,2020-03-16,0,0,0,0
Norte,RO,2020-03-17,0,0,0,0
Norte,RO,2020-03-18,0,0,0,0
Norte,RO,2020-03-19,0,0,0,0
Norte,RO,2020-03-20,1,1,0,0
Norte,RO,2020-03-21,0,1,0,0
Norte,RO,2020-03-22,2,3,0,0
Norte,RO,2020-03-23,0,3,0,0
Norte,RO,2020-03-24,0,3,0,0
Norte,RO,2020-03-25,2,5,0,0
Norte,RO,2020-03-26,0,5,0,0
Norte,RO,2020-03-27,1,6,0,0
Norte,RO,2020-03-28,0,6,0,0
Norte,RO,2020-03-29,0,6,0,0
Norte,RO,2020-03-30,0,6,0,0
Norte,RO,2020-03-31,2,8,1,1
Norte,RO,2020-04-01,1,9,0,1
Norte,RO,2020-04-02,1,10,0,1
Norte,RO,2020-04-03,0,10,0,1
Norte,RO,2020-04-04,1,11,0,1
Norte,RO,2020-04-05,1,12,0,1
Norte,RO,2020-04-06,2,14,0,1
Norte,RO,2020-04-07,4,18,0,1
Norte,RO,2020-04-08,0,18,0,1
Norte,RO,2020-04-09,10,28,1,2
Norte,RO,2020-04-10,4,32,0,2
Norte,RO,2020-04-11,1,33,0,2
Norte,RO,2020-04-12,2,35,0,2
Norte,RO,2020-04-13,7,42,0,2
Norte,RO,2020-04-14,22,64,0,2
Norte,RO,2020-04-15,5,69,0,2
Norte,RO,2020-04-16,7,76,1,3
Norte,RO,2020-04-17,16,92,0,3
Norte,RO,2020-04-18,18,110,0,3
Norte,RO,2020-04-19,18,128,1,4
Norte,RO,2020-04-20,32,160,0,4
Norte,RO,2020-04-21,39,199,0,4
Norte,RO,2020-04-22,24,223,1,5
Norte,RO,2020-04-23,27,250,0,5
Norte,RO,2020-04-24,40,290,0,5
Norte,RO,2020-04-25,38,328,2,7
Norte,RO,2020-04-26,36,364,3,10
Norte,RO,2020-04-27,29,393,0,10
Norte,RO,2020-04-28,20,413,1,11
Norte,RO,2020-04-29,20,433,4,15
Norte,RO,2020-04-30,69,502,1,16
Norte,RO,2020-05-01,83,585,2,18
Norte,RO,2020-05-02,68,653,5,23
Norte,RO,2020-05-03,52,705,1,24
Norte,RO,2020-05-04,51,756,1,25
Norte,RO,2020-05-05,105,861,4,29
Norte,RO,2020-05-06,82,943,4,33
Norte,AC,2020-01-30,0,0,0,0
Norte,AC,2020-01-31,0,0,0,0
Norte,AC,2020-02-01,0,0,0,0
